ENTREZID,SYMBOL,GENETITLE,CHR_Mapping,BP_Mapping
1901,S1PR1,sphingosine-1-phosphate receptor 1,1,101239134
118427,OLFM3,olfactomedin 3,1,101862362
1301,COL11A1,collagen type XI alpha 1 chain,1,102992481
55599,RNPC3,"RNA binding region (RNP1, RRM) containing 3",1,103540596
101928476,LOC101928476,uncharacterized LOC101928476,1,105607429
55170,PRMT6,protein arginine methyltransferase 6,1,107057970
22854,NTNG1,netrin G1,1,107313879
10451,VAV3,vav guanine nucleotide exchange factor 3,1,107698936
29957,SLC25A24,solute carrier family 25 member 24,1,108165652
148545,NBPF4,neuroblastoma breakpoint family member 4,1,108233711
284611,FAM102B,family with sequence similarity 102 member B,1,108599838
113802,HENMT1,HEN1 methyltransferase homolog 1,1,108654806
55119,PRPF38B,pre-mRNA processing factor 38B,1,108697055
163479,FNDC7,fibronectin type III domain containing 7,1,108727839
6814,STXBP3,syntaxin binding protein 3,1,108778094
254268,AKNAD1,AKNA domain containing 1,1,108836785
642864,SPATA42,spermatogenesis associated 42 (non-protein coding),1,108857824
29899,GPSM2,G-protein signaling modulator 2,1,108904679
23155,CLCC1,chloride channel CLIC like 1,1,108943240
22911,WDR47,WD repeat domain 47,1,109006222
6884,TAF13,TATA-box binding protein associated factor 13,1,109070189
56900,TMEM167B,transmembrane protein 167B,1,109093847
677766,SCARNA2,small Cajal body-specific RNA 2,1,109100402
127003,C1orf194,chromosome 1 open reading frame 194,1,109109904
57535,KIAA1324,KIAA1324,1,109178518
6301,SARS,seryl-tRNA synthetase,1,109220864
1952,CELSR2,cadherin EGF LAG seven-pass G-type receptor 2,1,109262887
84722,PSRC1,proline and serine rich coiled-coil 1,1,109281361
6272,SORT1,sortilin 1,1,109352608
5686,PSMA5,proteasome subunit alpha 5,1,109412747
284612,SYPL2,synaptophysin like 2,1,109474310
127002,ATXN7L2,ataxin 7 like 2,1,109488368
284613,CYB561D1,cytochrome b561 family member D1,1,109497249
57463,AMIGO1,adhesion molecule with Ig like domain 1,1,109508269
83873,GPR61,G protein-coupled receptor 61,1,109542852
2773,GNAI3,G protein subunit alpha i3,1,109572198
2780,GNAT2,G protein subunit alpha transducin 2,1,109608175
271,AMPD2,adenosine monophosphate deaminase 2,1,109627099
2948,GSTM4,glutathione S-transferase mu 4,1,109659840
2946,GSTM2,glutathione S-transferase mu 2,1,109673831
2944,GSTM1,glutathione S-transferase mu 1,1,109690770
2949,GSTM5,glutathione S-transferase mu 5,1,109715255
2947,GSTM3,glutathione S-transferase mu 3,1,109737485
79574,EPS8L3,EPS8 like 3,1,109757051
1435,CSF1,colony stimulating factor 1,1,109919128
10768,AHCYL1,adenosylhomocysteinase like 1,1,110010144
85369,STRIP1,striatin interacting protein 1,1,110043865
257,ALX3,ALX homeobox 3,1,110065537
164153,UBL4B,ubiquitin like 4B,1,110113193
388662,SLC6A17,solute carrier family 6 member 17,1,110176355
3749,KCNC4,potassium voltage-gated channel subfamily C member 4,1,110222383
64783,RBM15,RNA binding motif protein 15,1,110343002
9122,SLC16A4,solute carrier family 16 member 4,1,110376966
10542,LAMTOR5,"late endosomal/lysosomal adaptor, MAPK and MTOR activator 5",1,110404589
101410535,LAMTOR5-AS1,LAMTOR5 antisense RNA 1,1,110412041
84432,PROK1,prokineticin 1,1,110454260
643160,CYMP,chymosin pseudogene,1,110486017
440602,LOC440602,uncharacterized LOC440602,1,110488969
3744,KCNA10,potassium voltage-gated channel subfamily A member 10,1,110518196
3737,KCNA2,potassium voltage-gated channel subfamily A member 2,1,110608640
3738,KCNA3,potassium voltage-gated channel subfamily A member 3,1,110666639
963,CD53,CD53 molecule,1,110886042
55791,LRIF1,ligand dependent nuclear receptor interacting factor 1,1,110955567
128338,DRAM2,DNA damage regulated autophagy modulator 2,1,111128774
10390,CEPT1,choline/ethanolamine phosphotransferase 1,1,111162446
79961,DENND2D,DENN domain containing 2D,1,111194294
1117,CHI3L2,chitinase 3 like 2,1,111236062
149620,CHIAP2,"chitinase, acidic pseudogene 2",1,111283316
27159,CHIA,"chitinase, acidic",1,111305709
128344,PIFO,primary cilia formation,1,111349788
5016,OVGP1,oviductal glycoprotein 1,1,111421046
79084,WDR77,WD repeat domain 77,1,111444599
515,ATP5F1,"ATP synthase, H+ transporting, mitochondrial Fo complex subunit B1",1,111455512
128346,C1orf162,chromosome 1 open reading frame 162,1,111476190
140,ADORA3,adenosine A3 receptor,1,111501775
5906,RAP1A,"RAP1A, member of RAS oncogene family",1,111668330
100506343,FAM212B-AS1,FAM212B antisense RNA 1,1,111743819
101928718,LOC101928718,uncharacterized LOC101928718,1,111750413
11218,DDX20,DEAD-box helicase 20,1,111761572
3752,KCND3,potassium voltage-gated channel subfamily D member 3,1,111882493
643355,LOC643355,uncharacterized LOC643355,1,111994704
55917,CTTNBP2NL,CTTNBP2 N-terminal like,1,112428671
7482,WNT2B,Wnt family member 2B,1,112504466
54879,ST7L,suppression of tumorigenicity 7 like,1,112574467
829,CAPZA1,capping actin protein of muscle Z-line alpha subunit 1,1,112645536
4343,MOV10,Mov10 RISC complex RNA helicase,1,112687614
389,RHOC,ras homolog family member C,1,112704178
333926,PPM1J,"protein phosphatase, Mg2+/Mn2+ dependent 1J",1,112712661
100996702,LINC01356,long intergenic non-protein coding RNA 1356,1,112835406
6566,SLC16A1,solute carrier family 16 member 1,1,112934028
100506392,SLC16A1-AS1,SLC16A1 antisense RNA 1,1,112960241
100996251,LOC100996251,uncharacterized LOC100996251,1,113042394
9860,LRIG2,leucine rich repeats and immunoglobulin like domains 2,1,113099186
260425,MAGI3,"membrane associated guanylate kinase, WW and PDZ domain containing 3",1,113538388
10745,PHTF1,putative homeodomain transcription factor 1,1,113729886
54665,RSBN1,round spermatid basic protein 1,1,113787154
26191,PTPN22,"protein tyrosine phosphatase, non-receptor type 22",1,113842785
440603,BCL2L15,BCL2 like 15,1,113882180
10717,AP4B1,adaptor related protein complex 4 beta 1 subunit,1,113899609
64858,DCLRE1B,DNA cross-link repair 1B,1,113909521
101928846,HIPK1-AS1,HIPK1 antisense RNA 1,1,113926696
204851,HIPK1,homeodomain interacting protein kinase 1,1,113958681
56944,OLFML3,olfactomedin like 3,1,113980822
148281,SYT6,synaptotagmin 6,1,114121218
51592,TRIM33,tripartite motif containing 33,1,114451968
10286,BCAS2,breast carcinoma amplified sequence 2,1,114574602
163259,DENND2C,DENN domain containing 2C,1,114627343
270,AMPD1,adenosine monophosphate deaminase 1,1,114684358
4893,NRAS,neuroblastoma RAS viral oncogene homolog,1,114710679
7812,CSDE1,cold shock domain containing E1,1,114737481
80143,SIKE1,suppressor of IKBKE 1,1,114775085
6847,SYCP1,synaptonemal complex protein 1,1,114925086
7252,TSHB,thyroid stimulating hormone beta,1,115033097
10100,TSPAN2,tetraspanin 2,1,115068755
4803,NGF,nerve growth factor,1,115312076
81839,VANGL1,VANGL planar cell polarity protein 1,1,115670257
845,CASQ2,calsequestrin 2,1,115734405
4808,NHLH2,nescient helix-loop-helix 2,1,115838648
101928995,LOC101928995,uncharacterized LOC101928995,1,115922642
55356,SLC22A15,solute carrier family 22 member 15,1,116023276
126868,MAB21L3,mab-21 like 3,1,116123497
476,ATP1A1,ATPase Na+/K+ transporting subunit alpha 1,1,116390789
84852,ATP1A1-AS1,ATP1A1 antisense RNA 1,1,116409962
965,CD58,CD58 molecule,1,116543855
3321,IGSF3,immunoglobulin superfamily member 3,1,116620876
914,CD2,CD2 molecule,1,116761829
5738,PTGFRN,prostaglandin F2 receptor inhibitor,1,116950140
9398,CD101,CD101 molecule,1,117019150
8458,TTF2,transcription termination factor 2,1,117081598
80263,TRIM45,tripartite motif containing 45,1,117116422
79679,VTCN1,V-set domain containing T cell activation inhibitor 1,1,117175492
10905,MAN1A2,mannosidase alpha class 1A member 2,1,117446580
100996263,LOC100996263,uncharacterized LOC100996263,1,117601301
54855,FAM46C,family with sequence similarity 46 member C,1,117617185
54834,GDAP2,ganglioside induced differentiation associated protein 2,1,117899888
10885,WDR3,WD repeat domain 3,1,117945087
200162,SPAG17,sperm associated antigen 17,1,118069445
6913,TBX15,T-box 15,1,118935873
10352,WARS2,"tryptophanyl tRNA synthetase 2, mitochondrial",1,119085944
101929147,LOC101929147,uncharacterized LOC101929147,1,119175870
51179,HAO2,hydroxyacid oxidase 2,1,119381453
3284,HSD3B2,"hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 2",1,119419032
3283,HSD3B1,"hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 1",1,119511130
644242,LINC00622,long intergenic non-protein coding RNA 622,1,119598496
90874,ZNF697,zinc finger protein 697,1,119633572
26227,PHGDH,phosphoglycerate dehydrogenase,1,119728011
3158,HMGCS2,3-hydroxy-3-methylglutaryl-CoA synthase 2,1,119758464
83998,REG4,regenerating family member 4,1,119804875
11085,ADAM30,ADAM metallopeptidase domain 30,1,119895028
4853,NOTCH2,notch 2,1,119996518
9554,SEC22B,"SEC22 homolog B, vesicle trafficking protein (gene/pseudogene)",1,120166231
728841,NBPF8,neuroblastoma breakpoint family member 8,1,120452097
728855,LINC00623,long intergenic non-protein coding RNA 623,1,120934269
2210,FCGR1B,Fc fragment of IgG receptor Ib,1,121091873
653464,SRGAP2C,SLIT-ROBO Rho GTPase activating protein 2C,1,121288920
100288142,NBPF20,neuroblastoma breakpoint family member 20,1,145347839
5174,PDZK1,PDZ domain containing 1,1,145689126
11126,CD160,CD160 molecule,1,145729367
27246,RNF115,ring finger protein 115,1,145785102
10623,POLR3C,RNA polymerase III subunit C,1,145834329
200035,NUDT17,nudix hydrolase 17,1,145847104
10401,PIAS3,protein inhibitor of activated STAT 3,1,145853801
148741,ANKRD35,ankyrin repeat domain 35,1,145876213
8515,ITGA10,integrin subunit alpha 10,1,145900698
8799,PEX11B,peroxisomal biogenesis factor 11 beta,1,145914992
114814,GNRHR2,gonadotropin releasing hormone receptor 2 (pseudogene),1,145921482
9939,RBM8A,RNA binding motif protein 8A,1,145924546
128077,LIX1L,limb and CNS expressed 1 like,1,145945721
284615,ANKRD34A,ankyrin repeat domain 34A,1,145962011
84265,POLR3GL,RNA polymerase III subunit G like,1,145971765
10628,TXNIP,thioredoxin interacting protein,1,145994301
148738,HFE2,hemochromatosis type 2 (juvenile),1,146019645
388677,NOTCH2NL,notch 2 N-terminal like,1,146190470
388692,LOC388692,uncharacterized LOC388692,1,146749106
5565,PRKAB2,protein kinase AMP-activated non-catalytic subunit beta 2,1,147163847
2330,FMO5,flavin containing monooxygenase 5,1,147205460
9557,CHD1L,chromodomain helicase DNA binding protein 1 like,1,147269203
100289211,LINC00624,long intergenic non-protein coding RNA 624,1,147450033
607,BCL9,B-cell CLL/lymphoma 9,1,147583860
51205,ACP6,"acid phosphatase 6, lysophosphatidic",1,147658946
2702,GJA5,gap junction protein alpha 5,1,147761591
2703,GJA8,gap junction protein alpha 8,1,147906044
51463,GPR89B,G protein-coupled receptor 89B,1,147960957
100505824,LOC100505824,uncharacterized LOC100505824,1,148163061
100132057,LOC100132057,phosphodiesterase 4D interacting protein pseudogene,1,148417514
388685,LINC01138,long intergenic non-protein coding RNA 1138,1,148446439
9659,PDE4DIP,phosphodiesterase 4D interacting protein,1,148927158
57234,LINC00869,long intergenic non-protein coding RNA 869,1,149635303
2209,FCGR1A,Fc fragment of IgG receptor Ia,1,149787606
8337,HIST2H2AA3,histone cluster 2 H2A family member a3,1,149846906
8349,HIST2H2BE,histone cluster 2 H2B family member e,1,149885571
51027,BOLA1,bolA family member 1,1,149900188
9900,SV2A,synaptic vesicle glycoprotein 2A,1,149907878
10262,SF3B4,splicing factor 3b subunit 4,1,149925784
10903,MTMR11,myotubularin related protein 11,1,149932643
56957,OTUD7B,OTU deubiquitinase 7B,1,149975533
11311,VPS45,vacuolar protein sorting 45 homolog,1,150106403
51177,PLEKHO1,pleckstrin homology domain containing O1,1,150155019
81611,ANP32E,acidic nuclear phosphoprotein 32 family member E,1,150226917
23632,CA14,carbonic anhydrase 14,1,150261410
51107,APH1A,"aph-1 homolog A, gamma-secretase subunit",1,150267304
79630,C1orf54,chromosome 1 open reading frame 54,1,150276772
148523,CIART,circadian associated repressor of transcription,1,150284859
54460,MRPS21,mitochondrial ribosomal protein S21,1,150301410
9129,PRPF3,pre-mRNA processing factor 3,1,150337353
23248,RPRD2,regulation of nuclear pre-mRNA domain containing 2,1,150420338
1893,ECM1,extracellular matrix protein 1,1,150510900
54507,ADAMTSL4,ADAMTS like 4,1,150554605
4170,MCL1,BCL2 family apoptosis regulator,1,150577144
2029,ENSA,endosulfine alpha,1,150626498
55204,GOLPH3L,golgi phosphoprotein 3 like,1,150671710
84072,HORMAD1,HORMA domain containing 1,1,150709473
1520,CTSS,cathepsin S,1,150748076
1513,CTSK,cathepsin K,1,150802324
405,ARNT,aryl hydrocarbon receptor nuclear translocator,1,150843236
9869,SETDB1,SET domain bifurcated 1,1,150940685
29956,CERS2,ceramide synthase 2,1,150970088
8416,ANXA9,annexin A9,1,150988830
55793,FAM63A,family with sequence similarity 63 member A,1,151002141
58497,PRUNE1,prune exopolyphosphatase,1,151022052
149428,BNIPL,BCL2 interacting protein like,1,151042076
54964,C1orf56,chromosome 1 open reading frame 56,1,151049589
56882,CDC42SE1,CDC42 small effector 1,1,151055310
10962,MLLT11,"myeloid/lymphoid or mixed-lineage leukemia; translocated to, 11",1,151064086
126626,GABPB2,GA binding protein transcription factor beta subunit 2,1,151095727
10500,SEMA6C,semaphorin 6C,1,151139175
79626,TNFAIP8L2,TNF alpha induced protein 8 like 2,1,151158189
388695,LYSMD1,LysM domain containing 1,1,151162834
6944,VPS72,vacuolar protein sorting 72 homolog,1,151183256
8394,PIP5K1A,phosphatidylinositol-4-phosphate 5-kinase type 1 alpha,1,151224037
5710,PSMD4,"proteasome 26S subunit, non-ATPase 4",1,151261094
100507670,LOC100507670,uncharacterized LOC100507670,1,151280977
57592,ZNF687,zinc finger protein 687,1,151286919
5298,PI4KB,phosphatidylinositol 4-kinase beta,1,151309756
5993,RFX5,regulatory factor X5,1,151343966
101927886,GBAT2,glioblastoma multiforme-associated transcript 2,1,151347450
8991,SELENBP1,selenium binding protein 1,1,151368518
5692,PSMB4,proteasome subunit beta 4,1,151400750
23126,POGZ,pogo transposable element with ZNF domain,1,151426779
57530,CGN,cingulin,1,151525038
7286,TUFT1,tuftelin 1,1,151561943
81609,SNX27,sorting nexin family member 27,1,151655634
11189,CELF3,"CUGBP, Elav-like family member 3",1,151708313
284485,RIIAD1,regulatory subunit of type II PKA R-subunit (RIIa) domain containing 1,1,151725571
65005,MRPL9,mitochondrial ribosomal protein L9,1,151761779
51686,OAZ3,ornithine decarboxylase antizyme 3,1,151767849
11022,TDRKH,tudor and KH domain containing,1,151781528
6097,RORC,RAR related orphan receptor C,1,151817522
284486,THEM5,thioesterase superfamily member 5,1,151850399
117145,THEM4,thioesterase superfamily member 4,1,151890376
6281,S100A10,S100 calcium binding protein A10,1,151988574
6282,S100A11,S100 calcium binding protein A11,1,152034770
7062,TCHH,trichohyalin,1,152110885
126638,RPTN,repetin,1,152156411
2312,FLG,filaggrin,1,152313689
339400,FLG-AS1,FLG antisense RNA 1,1,152345977
388698,FLG2,filaggrin family member 2,1,152354371
49860,CRNN,cornulin,1,152411758
54544,CRCT1,cysteine rich C-terminal 1,1,152515253
84648,LCE3D,late cornified envelope 3D,1,152579944
26239,LCE2B,late cornified envelope 2B,1,152686761
100129271,C1orf68,chromosome 1 open reading frame 68,1,152719975
353135,LCE1E,late cornified envelope 1E,1,152787351
353132,LCE1B,late cornified envelope 1B,1,152812540
4184,SMCP,sperm mitochondria associated cysteine rich protein,1,152881684
3713,IVL,involucrin,1,152910224
163778,SPRR4,small proline rich protein 4,1,152971613
6698,SPRR1A,small proline rich protein 1A,1,152984951
6707,SPRR3,small proline rich protein 3,1,153002801
6699,SPRR1B,small proline rich protein 1B,1,153032051
6702,SPRR2C,small proline rich protein 2C (pseudogene),1,153140805
6706,SPRR2G,small proline rich protein 2G,1,153150266
101928009,LOC101928009,uncharacterized LOC101928009,1,153183097
149018,LELP1,late cornified envelope like proline rich 1,1,153204277
574414,PRR9,proline rich 9,1,153218450
4014,LOR,loricrin,1,153260913
114771,PGLYRP3,peptidoglycan recognition protein 3,1,153304290
57115,PGLYRP4,peptidoglycan recognition protein 4,1,153339481
6280,S100A9,S100 calcium binding protein A9,1,153359440
6283,S100A12,S100 calcium binding protein A12,1,153374653
6279,S100A8,S100 calcium binding protein A8,1,153395807
338324,S100A7A,S100 calcium binding protein A7A,1,153419874
6278,S100A7,S100 calcium binding protein A7,1,153459202
6277,S100A6,S100 calcium binding protein A6,1,153535420
6276,S100A5,S100 calcium binding protein A5,1,153539456
6275,S100A4,S100 calcium binding protein A4,1,153544713
6274,S100A3,S100 calcium binding protein A3,1,153548295
6273,S100A2,S100 calcium binding protein A2,1,153563469
140576,S100A16,S100 calcium binding protein A16,1,153609072
57402,S100A14,S100 calcium binding protein A14,1,153615294
6284,S100A13,S100 calcium binding protein A13,1,153623828
6271,S100A1,S100 calcium binding protein A1,1,153630217
26097,CHTOP,chromatin target of PRMT1,1,153640144
23557,SNAPIN,SNAP associated protein,1,153660253
3608,ILF2,interleukin enhancer binding factor 2,1,153666408
4881,NPR1,natriuretic peptide receptor 1,1,153686340
65123,INTS3,integrator complex subunit 3,1,153751437
11000,SLC27A3,solute carrier family 27 member 3,1,153777724
57459,GATAD2B,GATA zinc finger domain containing 2B,1,153863941
9909,DENND4B,DENN domain containing 4B,1,153938089
200186,CRTC2,CREB regulated transcription coactivator 2,1,153953164
27173,SLC39A1,solute carrier family 39 member 1,1,153962191
148327,CREB3L4,cAMP responsive element binding protein 3 like 4,1,153971191
10899,JTB,jumping translocation breakpoint,1,153976122
5872,RAB13,"RAB13, member RAS oncogene family",1,153983744
6232,RPS27,ribosomal protein S27,1,153991459
91181,NUP210L,nucleoporin 210 like,1,154073904
7170,TPM3,tropomyosin 3,1,154175668
25912,C1orf43,chromosome 1 open reading frame 43,1,154214939
9898,UBAP2L,ubiquitin associated protein 2 like,1,154244011
10456,HAX1,HCLS1 associated protein X-1,1,154274220
89872,AQP10,aquaporin 10,1,154323220
57198,ATP8B2,ATPase phospholipid transporting 8B2,1,154335627
3570,IL6R,interleukin 6 receptor,1,154429480
126669,SHE,Src homology 2 domain containing E,1,154490765
126668,TDRD10,tudor domain containing 10,1,154525183
55585,UBE2Q1,ubiquitin conjugating enzyme E2 Q1,1,154553609
1141,CHRNB2,cholinergic receptor nicotinic beta 2 subunit,1,154573829
103,ADAR,"adenosine deaminase, RNA specific",1,154598117
3782,KCNN3,potassium calcium-activated channel subfamily N member 3,1,154781268
10654,PMVK,phosphomevalonate kinase,1,154931719
57326,PBXIP1,PBX homeobox interacting protein 1,1,154950123
90780,PYGO2,pygopus family PHD finger 2,1,154959404
6464,SHC1,SHC adaptor protein 1,1,154967456
1163,CKS1B,CDC28 protein kinase regulatory subunit 1B,1,154976945
80308,FLAD1,flavin adenine dinucleotide synthetase 1,1,154987177
55891,LENEP,lens epithelial protein,1,154993950
51043,ZBTB7B,zinc finger and BTB domain containing 7B,1,155010577
127579,DCST2,DC-STAMP domain containing 2,1,155026154
149095,DCST1,DC-STAMP domain containing 1,1,155042368
100505666,LOC100505666,uncharacterized LOC100505666,1,155051385
8751,ADAM15,ADAM metallopeptidase domain 15,1,155056000
1945,EFNA4,ephrin A4,1,155066645
1944,EFNA3,ephrin A3,1,155083205
1942,EFNA1,ephrin A1,1,155131391
55974,SLC50A1,solute carrier family 50 member 1,1,155137218
54344,DPM3,dolichyl-phosphate mannosyltransferase subunit 3,1,155140177
200185,KRTCAP2,keratinocyte associated protein 2,1,155171368
80128,TRIM46,tripartite motif containing 46,1,155178814
4582,MUC1,"mucin 1, cell surface associated",1,155189369
7059,THBS3,thrombospondin 3,1,155201784
4580,MTX1,metaxin 1,1,155211269
2630,GBAP1,glucosylceramidase beta pseudogene 1,1,155220679
10712,FAM189B,family with sequence similarity 189 member B,1,155251344
10067,SCAMP3,secretory carrier membrane protein 3,1,155259182
1196,CLK2,CDC like kinase 2,1,155268198
57657,HCN3,hyperpolarization activated cyclic nucleotide gated potassium channel 3,1,155283352
5313,PKLR,"pyruvate kinase, liver and RBC",1,155295255
2224,FDPS,farnesyl diphosphate synthase,1,155314748
284618,RUSC1-AS1,RUSC1 antisense RNA 1,1,155322303
23623,RUSC1,RUN and SH3 domain containing 1,1,155327089
645682,POU5F1P4,POU class 5 homeobox 1 pseudogene 4,1,155433721
55870,ASH1L,ASH1 like histone lysine methyltransferase,1,155448897
645676,ASH1L-AS1,ASH1L antisense RNA 1,1,155562962
55154,MSTO1,"misato 1, mitochondrial distribution and morphology regulator",1,155612568
55249,YY1AP1,YY1 associated protein 1,1,155673583
7818,DAP3,death associated protein 3,1,155714050
54856,GON4L,gon-4 like,1,155806294
23208,SYT11,synaptotagmin 11,1,155872334
6016,RIT1,Ras like without CAAX 1,1,155904483
22889,KIAA0907,KIAA0907,1,155923742
9181,ARHGEF2,Rho/Rac guanine nucleotide exchange factor 2,1,155962599
6746,SSR2,signal sequence receptor subunit 2,1,156015007
56893,UBQLN4,ubiquilin 4,1,156044559
28956,LAMTOR2,"late endosomal/lysosomal adaptor, MAPK and MTOR activator 2",1,156056618
57111,RAB25,"RAB25, member RAS oncogene family",1,156065831
92312,MEX3A,mex-3 RNA binding family member A,1,156077005
4000,LMNA,lamin A/C,1,156125789
64218,SEMA4A,semaphorin 4A,1,156165051
9673,SLC25A44,solute carrier family 25 member 44,1,156203364
11243,PMF1,polyamine modulated factor 1,1,156226532
79957,PAQR6,progestin and adipoQ receptor family member 6,1,156245719
23381,SMG5,"SMG5, nonsense mediated mRNA decay factor",1,156267481
84283,TMEM79,transmembrane protein 79,1,156288019
112770,GLMP,glycosylated lysosomal membrane protein,1,156294188
7203,CCT3,chaperonin containing TCP1 subunit 3,1,156323688
128229,TSACC,TSSK6 activating cochaperone,1,156342653
57127,RHBG,Rh family B glycoprotein (gene/pseudogene),1,156377205
10485,C1orf61,chromosome 1 open reading frame 61,1,156414954
4209,MEF2D,myocyte enhancer factor 2D,1,156479720
128239,IQGAP3,IQ motif containing GTPase activating protein 3,1,156549004
128240,NAXE,NAD(P)HX epimerase,1,156593032
54865,GPATCH4,G-patch domain containing 4,1,156597897
60484,HAPLN2,hyaluronan and proteoglycan link protein 2,1,156622509
63827,BCAN,brevican,1,156649225
10763,NES,nestin,1,156673080
1382,CRABP2,cellular retinoic acid binding protein 2,1,156702674
81875,ISG20L2,interferon stimulated exonuclease gene 20 like 2,1,156725165
51093,RRNAD1,ribosomal RNA adenine dimethylase domain containing 1,1,156732715
79590,MRPL24,mitochondrial ribosomal protein L24,1,156739216
3068,HDGF,hepatoma-derived growth factor,1,156747019
5546,PRCC,papillary renal cell carcinoma (translocation-associated),1,156784149
9047,SH2D2A,SH2 domain containing 2A,1,156811564
3645,INSRR,insulin receptor related receptor,1,156849896
4914,NTRK1,neurotrophic receptor tyrosine kinase 1,1,156860082
375033,PEAR1,platelet endothelial aggregation receptor 1,1,156905082
149499,LRRC71,leucine rich repeat containing 71,1,156926860
9826,ARHGEF11,Rho guanine nucleotide exchange factor 11,1,156990105
2117,ETV3,ETS variant 3,1,157133706
83416,FCRL5,Fc receptor like 5,1,157532948
83417,FCRL4,Fc receptor like 4,1,157585914
115352,FCRL3,Fc receptor like 3,1,157689099
79368,FCRL2,Fc receptor like 2,1,157761432
115350,FCRL1,Fc receptor like 1,1,157807277
922,CD5L,CD5 molecule like,1,157836379
55243,KIRREL,kin of IRRE like (Drosophila),1,158046767
646268,LOC646268,hCG1654703,1,158136342
912,CD1D,CD1d molecule,1,158182804
909,CD1A,CD1a molecule,1,158254750
911,CD1C,CD1c molecule,1,158292273
910,CD1B,CD1b molecule,1,158329740
913,CD1E,CD1e molecule,1,158355624
6708,SPTA1,"spectrin alpha, erythrocytic 1",1,158648711
4332,MNDA,myeloid cell nuclear differentiation antigen,1,158840429
149628,PYHIN1,pyrin and HIN domain family member 1,1,158954303
3428,IFI16,interferon gamma inducible protein 16,1,159032523
9447,AIM2,absent in melanoma 2,1,159069671
57863,CADM3,cell adhesion molecule 3,1,159187373
100131825,CADM3-AS1,CADM3 antisense RNA 1,1,159199203
2532,ACKR1,atypical chemokine receptor 1 (Duffy blood group),1,159205568
2205,FCER1A,Fc fragment of IgE receptor Ia,1,159298969
26476,OR10J1,olfactory receptor family 10 subfamily J member 1,1,159440266
325,APCS,"amyloid P component, serum",1,159588348
1401,CRP,C-reactive protein,1,159713439
54935,DUSP23,dual specificity phosphatase 23,1,159781760
56833,SLAMF8,SLAM family member 8,1,159832090
284677,C1orf204,chromosome 1 open reading frame 204,1,159844910
25790,CFAP45,cilia and flagella associated protein 45,1,159886240
8407,TAGLN2,transgelin 2,1,159921355
57549,IGSF9,immunoglobulin superfamily member 9,1,159936317
89886,SLAMF9,SLAM family member 9,1,159952873
100505633,LINC01133,long intergenic non-protein coding RNA 1133,1,159970155
93183,PIGM,phosphatidylinositol glycan anchor biosynthesis class M,1,160029832
3766,KCNJ10,potassium voltage-gated channel subfamily J member 10,1,160053864
3765,KCNJ9,potassium voltage-gated channel subfamily J member 9,1,160085496
93185,IGSF8,immunoglobulin superfamily member 8,1,160095048
477,ATP1A2,ATPase Na+/K+ transporting subunit alpha 2,1,160129657
480,ATP1A4,ATPase Na+/K+ transporting subunit alpha 4,1,160175731
844,CASQ1,calsequestrin 1,1,160196190
8682,PEA15,phosphoprotein enriched in astrocytes 15,1,160210347
50717,DCAF8,DDB1 and CUL4 associated factor 8,1,160244997
5824,PEX19,peroxisomal biogenesis factor 19,1,160280980
1314,COPA,coatomer protein complex subunit alpha,1,160316075
23385,NCSTN,nicastrin,1,160351112
4807,NHLH1,nescient helix-loop-helix 1,1,160369959
57216,VANGL2,VANGL planar cell polarity protein 2,1,160414626
114836,SLAMF6,SLAM family member 6,1,160504146
8832,CD84,CD84 molecule,1,160560305
6504,SLAMF1,signaling lymphocytic activation molecule family member 1,1,160627705
962,CD48,CD48 molecule,1,160695717
57823,SLAMF7,SLAM family member 7,1,160746937
4063,LY9,lymphocyte antigen 9,1,160805787
51744,CD244,CD244 molecule,1,160846531
55600,ITLN1,intelectin 1,1,160880855
50848,F11R,F11 receptor,1,161008277
100131187,TSTD1,thiosulfate sulfurtransferase like domain containing 1,1,161038308
7391,USF1,upstream transcription factor 1,1,161042354
257106,ARHGAP30,Rho GTPase activating protein 30,1,161058456
81607,NECTIN4,nectin cell adhesion molecule 4,1,161080293
126823,KLHDC9,kelch domain containing 9,1,161099362
5202,PFDN2,prefoldin subunit 2,1,161109316
4817,NIT1,nitrilase 1,1,161120175
9191,DEDD,death effector domain containing,1,161126777
51506,UFC1,ubiquitin-fold modifier conjugating enzyme 1,1,161156300
27005,USP21,ubiquitin specific peptidase 21,1,161162595
5498,PPOX,protoporphyrinogen oxidase,1,161168805
8703,B4GALT3,"beta-1,4-galactosyltransferase 3",1,161174639
9507,ADAMTS4,ADAM metallopeptidase with thrombospondin type 1 motif 4,1,161194391
4720,NDUFS2,NADH:ubiquinone oxidoreductase core subunit S2,1,161207562
2207,FCER1G,Fc fragment of IgE receptor Ig,1,161217272
336,APOA2,apolipoprotein A2,1,161222960
84134,TOMM40L,translocase of outer mitochondrial membrane 40 like,1,161228342
9970,NR1I3,nuclear receptor subfamily 1 group I member 3,1,161233938
654790,PCP4L1,Purkinje cell protein 4 like 1,1,161272088
4359,MPZ,myelin protein zero,1,161307353
6391,SDHC,succinate dehydrogenase complex subunit C,1,161339560
257177,CFAP126,cilia and flagella associated protein 126,1,161366307
